PRJNA Project	SRR Sample ID	Year Collected	Place/Region
PRJNA748547	SRR18092184	2013	China
PRJNA748547	SRR18092223	2013	China
PRJNA973860	SRR24675066	2013	India
PRJNA973860	SRR24675067	2013	India
PRJNA748547	SRR18092234	2013	China
PRJNA748547	SRR18092245	2013	China
PRJNA748547	SRR18092286	2013	China
PRJNA324432	SRR14119011	2013	Brazil
PRJNA354675	SRR6669171	2013	Suriname
PRJNA354675	SRR6669174	2013	Suriname
PRJNA354675	SRR6669187	2013	China
PRJNA354675	SRR6669188	2013	China
PRJNA354675	SRR6669189	2013	China
PRJNA354675	SRR6669190	2013	China
PRJNA354675	SRR6669193	2013	China
PRJNA354675	SRR6669215	2013	China
PRJNA354675	SRR6669216	2013	China
PRJNA670311	SRR12887175	2013	Tanzania
PRJNA670311	SRR12887178	2013	Tanzania
PRJNA670311	SRR12887183	2013	Tanzania
PRJNA670311	SRR12887186	2013	Tanzania
PRJNA670311	SRR12887188	2013	Argentina
PRJNA670311	SRR12887189	2013	Argentina
PRJNA748547	SRR18092260	2014	China
PRJNA748547	SRR18092285	2014	China
PRJNA748547	SRR18092202	2014	China
PRJNA748547	SRR18092213	2014	China
PRJNA354675	SRR6669173	2014	Suriname
PRJNA354675	SRR6669176	2014	Suriname
PRJNA670311	SRR12887200	2014	Burundi
PRJNA670311	SRR12887201	2014	Burundi
PRJNA670311	SRR12887202	2014	Burundi
PRJNA973860	SRR24675057	2015	India
PRJNA973860	SRR24675058	2015	India
PRJNA973860	SRR24675059	2015	India
PRJNA391416	SRR6227418	2015	China
PRJNA391416	SRR6227419	2015	China
PRJNA748547	SRR18092261	2015	China
PRJNA748547	SRR18092262	2015	China
PRJNA866295	SRR20852133	2015	China
PRJNA866295	SRR20852131	2015	China
PRJNA866295	SRR20852132	2015	China
PRJNA354675	SRR6669151	2015	Ghana
PRJNA354675	SRR6669157	2015	Ghana
PRJNA354675	SRR6669175	2015	Ghana
PRJNA354675	SRR6669194	2015	Ghana
PRJNA670311	SRR12887195	2015	Burundi
PRJNA670311	SRR12887204	2015	Uganda
PRJNA577277	SRR10271354	2016	China
PRJNA577277	SRR10271355	2016	China
PRJNA577277	SRR10271356	2016	China
PRJNA577277	SRR11528297	2016	China
PRJNA577277	SRR11528298	2016	China
PRJNA577277	SRR11528301	2016	China
PRJNA577277	SRR11528302	2016	China
PRJNA577277	SRR11528305	2016	China
PRJNA577277	SRR11528299	2016	China
PRJNA577277	SRR11528300	2016	China
PRJNA577277	SRR11528303	2016	China
PRJNA577277	SRR11528304	2016	China
PRJNA670311	SRR12887168	2016	Mali
PRJNA670311	SRR12887169	2016	Mali
PRJNA670311	SRR12887170	2016	Burkina Faso
PRJNA670311	SRR12887171	2016	Burkina Faso
PRJNA670311	SRR12887180	2016	Burkina Faso
PRJNA670311	SRR12887190	2016	Togo
PRJNA670311	SRR12887193	2016	Burkina Faso
PRJNA670311	SRR12887194	2016	Benin
PRJNA670311	SRR12887198	2016	Nigeria
PRJNA670311	SRR12887199	2016	Nigeria
PRJNA670311	SRR12887205	2016	Uganda
PRJNA670311	SRR12887214	2016	Togo
PRJNA670311	SRR12887215	2016	Togo
PRJNA826999	SRR18767170	2017	China
PRJNA826999	SRR18767171	2017	China
PRJNA826999	SRR18767172	2017	China
PRJNA826999	SRR18767173	2017	China
PRJNA670311	SRR12887176	2017	Kenya
PRJNA670311	SRR12887177	2017	Uganda
PRJNA670311	SRR12887182	2017	Tanzania
PRJNA670311	SRR12887197	2017	Kenya
PRJNA670311	SRR12887212	2017	Tanzania
PRJNA670311	SRR12887213	2017	Tanzania
PRJDB15332	DRR445893	2022	Japan
