Sample,PRJNA Project,Year_Collected,Place/Region,ACE1,AVR-Pi9,AVR-Pia,AVR-Pib,AVR-Pii,AVR-Piks,AVR-Pita1,AVR-Pizt
225TM,-,1993,USA - AR,1,1,0,1,0,0,1,1
226TM,-,1993,USA - AR,1,0,0,1,0,0,1,1
227TM,-,1993,USA - AR,1,1,0,1,0,0,1,1
228TM,-,1993,USA - AR,0,1,0,1,0,0,1,0
229TM,-,1993,USA - AR,1,1,0,1,0,0,1,1
230TM,-,1993,USA - AR,1,1,0,1,0,0,1,1
231TM,-,1993,USA - AR,1,1,0,1,0,0,1,1
232TM,-,1993,USA - AR,1,1,0,1,0,0,1,1
233TM,-,1993,USA - AR,1,1,0,1,0,0,1,1
234TM,-,1993,USA - AR,1,1,0,1,0,0,1,1
235TM,-,1993,USA - AR,0,1,0,1,0,0,1,0
238TM,-,1993,USA - AR,1,1,0,1,0,0,1,1
239TM,-,1993,USA - AR,1,1,0,1,0,1,1,0
240TM,-,1993,USA - AR,1,1,0,1,0,0,1,1
241TM,-,1993,USA - AR,1,1,0,1,0,0,1,1
242TM,-,1993,USA - AR,0,0,0,1,0,0,1,0
243TM,-,1993,USA - AR,1,1,0,1,0,0,1,1
244TM,-,1993,USA - AR,1,1,0,1,0,1,1,1
246TM,-,1993,USA - AR,1,1,0,1,0,1,1,1
236TM,-,1993,USA - LA,1,1,0,1,0,0,1,1
237TM,-,1993,USA - LA,0,1,0,1,0,1,1,0
247TM,-,1993,USA - LA,0,1,0,1,0,0,1,1
248TM,-,1993,USA - LA,1,1,0,1,0,1,1,1
249TM,-,1993,USA - LA,1,1,0,1,0,0,1,1
250TM,-,1993,USA - LA,1,1,0,1,0,0,1,1
251TM,-,1993,USA - LA,1,1,0,1,0,0,1,1
252TM,-,1993,USA - LA,1,1,0,1,0,0,1,1
253TM,-,1993,USA - LA,1,1,0,1,0,0,1,1
255TM,-,1993,USA - LA,0,1,0,1,0,0,1,1
256TM,-,1993,USA - LA,1,1,0,1,0,0,1,1
257TM,-,1993,USA - LA,1,1,0,1,0,0,1,1
258TM,-,1993,USA - LA,0,1,0,1,0,0,0,0
259TM,-,1993,USA - LA,1,1,0,1,0,0,1,1
260TM,-,1993,USA - LA,1,1,0,1,0,0,1,0
261TM,-,1993,USA - LA,1,1,0,1,0,0,1,1
262TM,-,1993,USA - LA,1,1,0,1,0,0,1,1
263TM,-,1993,USA - LA,1,1,0,1,1,0,1,1
264TM,-,1993,USA - LA,1,1,0,1,0,0,1,1
267TM,-,1993,USA - MS,1,1,0,1,0,1,1,1
268TM,-,1993,USA - MS,0,1,0,1,0,1,1,1
269TM,-,1993,USA - MS,0,1,0,1,0,0,1,1
270TM,-,1993,USA - MS,0,1,0,1,0,0,1,1
271TM,-,1993,USA - MS,1,1,0,1,0,0,1,1
272TM,-,1993,USA - MS,1,1,0,1,0,0,1,1
275TM,-,1993,USA - MS,1,1,0,1,0,0,1,1
279TM,-,1993,USA - MS,1,1,0,1,0,0,1,1
265TM,-,1993,USA - TX,1,1,0,1,0,0,1,1
266TM,-,1993,USA - TX,0,1,0,1,0,0,1,1
280TM,-,1993,USA - TX,1,1,0,1,0,0,1,1
SRR18092204,PRJNA748547,1994,China,1,1,0,1,0,1,1,1
SRR18092257,PRJNA748547,1994,China,1,1,0,0,0,1,0,1
SRR18092268,PRJNA748547,1994,China,1,1,0,1,0,0,1,1
SRR18092269,PRJNA748547,1994,China,1,1,0,1,0,1,1,1
DRR445890,PRJDB15332,1994,Japan,1,1,0,1,0,0,1,1
SRR6384768,PRJNA417903,1994,Spain,1,1,0,1,0,1,1,1
282TM,-,1994,USA - AR,0,1,0,1,0,0,1,1
283TM,-,1994,USA - AR,1,1,0,1,0,1,1,1
284TM,-,1994,USA - AR,1,1,0,1,0,0,1,1
288TM,-,1994,USA - AR,1,1,0,1,0,0,1,1
289TM,-,1994,USA - AR,1,1,0,1,0,0,1,1
295TM,-,1994,USA - AR,1,1,0,1,0,0,1,1
296TM,-,1994,USA - AR,1,1,0,1,0,0,1,1
298TM,-,1994,USA - AR,1,1,0,1,0,0,1,1
299TM,-,1994,USA - AR,1,1,0,1,0,0,1,0
300TM,-,1994,USA - AR,1,1,0,1,0,0,0,1
301TM,-,1994,USA - AR,1,1,0,1,1,0,0,1
302TM,-,1994,USA - AR,1,1,0,1,0,0,0,1
303TM,-,1994,USA - AR,1,1,0,1,0,1,1,1
304TM,-,1994,USA - AR,1,1,0,1,0,1,1,1
305TM,-,1994,USA - AR,1,1,0,1,0,0,1,1
306TM,-,1994,USA - AR,0,1,0,1,0,0,1,1
307TM,-,1994,USA - AR,1,1,0,1,0,0,1,1
308TM,-,1994,USA - AR,1,1,0,1,0,0,1,1
309TM,-,1994,USA - AR,1,1,0,1,0,0,1,1
311TM,-,1994,USA - AR,1,1,0,1,0,0,1,1
314TM,-,1994,USA - AR,0,1,0,1,0,0,0,0
315TM,-,1994,USA - AR,1,1,0,1,0,1,1,1
316TM,-,1994,USA - AR,1,1,0,1,0,0,1,1
317TM,-,1994,USA - AR,0,1,0,1,0,0,0,1
318TM,-,1994,USA - AR,1,1,0,1,0,0,1,1
321TM,-,1994,USA - AR,1,1,0,1,0,1,1,1
392TM,-,1994,USA - AR,1,1,0,1,0,0,1,1
568TM,-,1994,USA - AR,1,1,0,1,0,1,1,0
342TM,-,1994,USA - LA,1,1,0,1,0,1,1,1
343TM,-,1994,USA - LA,1,1,0,1,0,0,1,1
346TM,-,1994,USA - LA,1,1,0,1,0,1,1,1
348TM,-,1994,USA - LA,1,1,0,1,0,0,1,0
349TM,-,1994,USA - LA,1,1,0,1,0,0,1,0
351TM,-,1994,USA - LA,1,1,0,1,0,0,1,1
352TM,-,1994,USA - LA,1,1,0,1,0,0,1,0
358TM,-,1994,USA - LA,1,1,0,1,0,0,0,1
