Sample,Decade,State,DAPC Population,ACE1,AVR-Pia,AVR-Pii,AVR-Pita1,AVR-Pizt,AVR-Pi9,AVR-Pib,AVR-Piks,pyrm_37,pyrm_43,pyrm_47,pyrm_63,pyrm_77,pyrm_233,pyrm_409,pyrm_427,pyrm_607,pyrm_657
14A34_1,2010s,AR,5,1,0,0,1,1,1,1,1,196,210,174,147,177,267,168,216,290,169
14A36_1,2010s,AR,3,1,0,0,1,1,1,1,0,196,212,178,147,175,269,168,216,282,167
14A38_2,2010s,AR,5,1,0,0,1,1,1,1,1,196,208,174,147,177,267,168,220,290,169
14A40_2,2010s,AR,3,1,0,0,1,1,1,1,0,196,214,174,147,174,269,168,218,282,167
14A41_1,2010s,AR,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,290,169
14A42_2,2010s,AR,3,1,0,0,1,1,1,1,0,196,210,176,147,175,269,168,216,282,167
14A448_2,2010s,AR,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,290,169
14A44_3,2010s,AR,3,1,0,0,1,1,1,1,0,196,210,178,147,175,269,168,216,282,167
14A45_2,2010s,AR,3,1,0,0,1,1,1,1,0,196,214,176,147,174,269,168,216,282,167
14A4_1,2010s,AR,3,1,0,0,1,1,1,1,0,196,212,174,147,174,269,168,216,282,167
14A50_1,2010s,AR,4,1,0,0,1,1,1,1,1,196,216,174,147,175,269,168,220,282,167
14A53_3,2010s,AR,5,1,0,0,1,1,1,1,1,196,210,171,147,175,267,168,216,290,169
14A54_2,2010s,AR,3,1,0,0,1,1,1,1,1,196,210,174,147,175,272,168,216,282,167
14A55_2,2010s,AR,3,1,0,0,1,1,1,1,1,196,218,176,147,174,269,168,216,282,167
14A63_1,2010s,AR,2,1,0,0,1,1,1,1,1,196,-,164,149,175,251,193,214,284,169
14A6_1,2010s,AR,4,1,0,0,1,1,1,1,0,196,212,174,147,175,269,168,216,-,167
14A73_2,2010s,AR,3,1,0,0,1,1,1,1,0,196,214,174,147,174,269,168,216,282,167
14A73_3,2010s,AR,3,1,0,0,1,1,1,1,0,196,214,174,147,174,269,168,216,282,167
14A76_1,2010s,AR,3,1,0,0,1,1,1,1,0,196,214,176,147,174,269,168,216,282,167
14A7_3,2010s,AR,3,1,0,0,1,1,1,1,0,196,212,174,147,175,269,168,216,282,167
14A8_1,2010s,AR,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,-,216,290,169
14A9_1,2010s,AR,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,290,169
14L100_1,2010s,LA,5,1,0,0,1,1,1,1,1,196,212,174,147,177,267,168,218,290,169
14L106_2,2010s,LA,5,1,0,0,1,1,1,1,1,196,208,176,147,177,267,168,216,290,169
14L108_1,2010s,LA,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,290,169
14L10_2,2010s,LA,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,290,169
14L110_1,2010s,LA,5,1,0,0,1,1,1,1,1,-,208,174,147,177,267,168,220,290,169
14L112_2,2010s,LA,5,1,0,0,1,1,1,1,1,196,208,174,147,177,267,168,220,290,169
14L112_3,2010s,LA,5,1,0,0,1,1,1,1,1,196,208,-,147,177,267,168,220,290,169
14L116_1,2010s,LA,5,1,0,0,1,1,1,1,1,196,210,174,147,177,267,168,220,290,169
14L119_1,2010s,LA,3,1,0,0,1,1,1,1,1,196,208,174,147,-,267,168,220,290,169
14L121_1,2010s,LA,3,1,0,0,1,1,1,1,1,196,218,174,147,174,269,168,218,282,167
14L13_2,2010s,LA,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,290,169
14L14_1,2010s,LA,5,1,0,0,1,1,1,1,1,196,210,-,147,177,267,168,216,290,169
14L15_1,2010s,LA,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,290,169
14L20_3,2010s,LA,4,1,0,0,1,1,1,1,0,196,216,174,147,175,269,168,220,282,167
14L21_1,2010s,LA,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,290,169
14L22_1,2010s,LA,3,1,0,0,1,1,1,1,0,196,216,174,147,174,269,168,218,282,167
14L23_1,2010s,LA,5,1,0,0,1,1,1,1,1,196,210,171,147,177,267,168,216,290,169
14L24_1,2010s,LA,5,1,0,0,1,1,1,1,1,196,208,174,147,177,267,168,220,290,169
14L27_1,2010s,LA,3,1,0,0,1,1,1,1,0,196,216,174,147,174,269,168,218,282,167
14L2_1,2010s,LA,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,290,169
14L33_1,2010s,LA,5,1,0,0,1,1,1,1,0,196,208,174,147,177,267,168,220,290,169
14L35_2,2010s,LA,5,1,0,0,1,1,1,1,1,196,-,171,147,175,267,168,216,290,169
14L37_1,2010s,LA,5,1,0,0,1,1,1,1,1,196,208,174,147,177,267,168,220,290,169
14L39_1,2010s,LA,3,1,0,0,1,1,1,1,0,196,216,176,147,174,269,168,218,282,167
14L41_3,2010s,LA,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,290,169
14L42_3,2010s,LA,3,1,0,0,1,1,0,1,0,196,216,174,147,174,269,168,218,282,167
14L43,2010s,LA,5,1,0,0,1,1,1,1,1,196,208,174,147,177,267,168,220,290,169
14L48_4,2010s,LA,3,1,0,0,1,1,0,1,0,196,214,174,147,174,269,168,214,282,167
14L49_2,2010s,LA,3,1,0,0,1,1,0,1,0,196,216,176,147,174,269,168,216,282,167
14L4_1,2010s,LA,5,1,0,0,1,1,1,1,1,196,208,174,147,177,267,168,220,290,169
14L50_1,2010s,LA,3,1,0,0,1,1,0,1,1,196,216,174,147,174,269,168,218,282,167
14L51_2,2010s,LA,3,1,0,0,1,1,1,1,0,196,216,174,147,174,269,168,216,270,167
14L69_1,2010s,LA,3,1,0,0,1,1,1,1,0,196,216,174,147,174,269,168,216,282,167
14L70_1,2010s,LA,3,1,0,0,1,1,1,1,0,196,216,174,147,174,269,168,218,282,167
14L71_1,2010s,LA,3,1,0,0,1,1,1,1,0,-,216,174,147,174,269,168,218,282,167
14L74_3,2010s,LA,3,1,0,0,1,1,1,1,0,196,214,176,147,174,269,168,216,282,167
14L7_1,2010s,LA,5,1,0,0,1,1,1,1,1,196,208,174,147,177,267,168,220,290,169
14L81,2010s,LA,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,290,169
14L82_1,2010s,LA,3,1,0,0,1,1,1,1,0,196,216,174,147,174,269,168,218,282,167
14L89_2,2010s,LA,3,1,0,0,1,1,1,1,0,196,216,174,147,174,269,168,218,282,167
14L8_1,2010s,LA,3,1,0,0,1,1,1,1,0,196,214,176,147,174,269,168,216,282,167
14L90_4,2010s,LA,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,290,169
14L94_2,2010s,LA,5,1,0,0,1,1,1,1,1,196,212,171,147,163,267,168,218,290,169
14L95_1,2010s,LA,3,1,0,0,1,1,1,1,1,196,216,171,147,174,269,168,216,282,167
14L97_1,2010s,LA,5,1,0,0,1,1,1,1,1,196,210,171,147,177,267,168,216,290,169
14L98_3,2010s,LA,5,1,0,0,1,1,1,1,1,-,210,174,147,177,267,168,220,290,169
14L99_1,2010s,LA,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,290,169
14L9_3,2010s,LA,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,290,169
14T2_4,2010s,TX,3,1,0,0,1,1,0,1,1,194,218,165,-,161,249,160,-,273,173
14T5,2010s,TX,5,1,0,0,1,1,1,1,1,196,-,174,147,175,269,168,216,282,-
15A10_1,2010s,AR,3,1,0,0,1,1,1,1,0,196,212,178,147,175,269,168,220,282,165
15A11_2,2010s,AR,3,1,0,0,1,1,1,1,0,196,214,176,147,174,269,168,216,282,167
15A12_2,2010s,AR,5,1,0,0,1,1,1,1,1,196,210,171,147,177,267,168,216,290,169
15A13_2,2010s,AR,3,1,0,0,1,1,1,1,0,196,216,174,147,174,269,168,216,282,167
15A15_2,2010s,AR,4,1,0,0,1,1,1,1,0,196,216,174,147,175,269,170,216,282,167
15A16_1,2010s,AR,5,1,0,0,1,1,1,1,1,196,208,174,147,177,267,168,216,290,169
15A17_1,2010s,AR,5,1,0,0,1,1,1,1,1,196,208,174,147,177,267,168,216,290,169
15A1_1,2010s,AR,5,1,0,0,1,1,1,1,1,196,210,174,147,177,267,168,216,290,169
15A23_2,2010s,AR,5,1,0,0,1,1,1,1,1,196,210,174,147,177,-,168,216,290,169
15A25_1,2010s,AR,5,1,0,0,1,1,0,1,0,196,210,174,147,177,-,168,216,290,169
15A25_3,2010s,AR,3,1,0,0,1,1,1,1,0,196,212,174,147,174,269,168,216,282,167
15A27_1,2010s,AR,3,1,0,0,1,1,1,1,0,196,216,176,147,174,269,168,216,282,167
15A29_1,2010s,AR,3,1,0,0,1,1,0,1,0,196,216,176,147,174,-,168,-,282,167
15A29_5,2010s,AR,3,1,0,0,1,1,1,1,0,196,214,174,147,175,269,168,218,282,167
15A2_1,2010s,AR,5,1,0,0,1,1,1,1,1,196,-,171,147,177,-,168,216,290,-
15A30_1,2010s,AR,5,1,0,0,0,1,1,1,1,-,208,171,147,177,267,168,216,290,169
15A3_1,2010s,AR,5,1,0,0,1,1,1,1,1,196,206,171,147,177,267,168,216,290,169
15A4,2010s,AR,3,1,0,0,1,1,1,1,1,196,214,176,147,174,269,168,218,282,167
15A5_2,2010s,AR,5,1,0,0,1,1,1,1,1,196,210,171,147,177,267,168,216,290,169
15A6_3,2010s,AR,5,1,0,0,1,1,1,1,0,196,208,171,147,177,267,168,216,290,169
15A7_3,2010s,AR,3,1,0,0,1,1,1,1,0,196,212,174,147,175,269,168,216,282,167
15A7_4,2010s,AR,5,1,0,0,1,1,1,1,1,196,208,171,147,177,267,168,216,290,169
15A8_1,2010s,AR,3,1,0,0,1,1,1,1,0,196,216,174,147,174,269,168,218,282,167
15A9_1,2010s,AR,3,1,0,0,1,1,1,1,0,196,214,176,147,174,269,168,216,282,167
15L10_3,2010s,LA,5,1,0,0,1,1,1,1,1,196,210,171,147,177,267,168,216,290,169
15L13_1,2010s,LA,3,1,0,0,1,1,1,1,0,196,214,176,147,174,269,168,216,282,167
15L15_1,2010s,LA,5,1,0,0,1,1,1,1,1,196,208,174,147,177,267,168,216,290,169
15L15_5,2010s,LA,5,1,0,0,1,1,1,1,1,196,208,174,147,177,267,168,216,290,169
15L17_1,2010s,LA,3,1,0,0,1,1,1,1,0,196,214,180,147,174,269,168,216,282,167
15L18_1,2010s,LA,3,0,0,0,1,1,1,1,0,196,216,174,147,174,269,168,220,282,167
15L1_2,2010s,LA,3,1,0,0,1,1,1,1,0,196,218,176,147,174,269,168,216,282,167
15L1_4,2010s,LA,3,1,0,0,1,1,1,1,0,196,218,176,147,174,269,168,216,282,167
15L21_1,2010s,LA,3,1,0,0,1,1,1,1,0,196,216,176,147,174,269,168,216,282,167
15L22_2,2010s,LA,4,1,0,0,1,1,1,1,0,196,218,174,147,174,269,168,216,282,-
15L22_3,2010s,LA,3,1,0,0,1,1,1,1,0,196,216,178,147,174,269,168,216,282,167
15L24_1,2010s,LA,3,1,0,0,1,1,1,1,0,196,218,176,147,174,269,168,216,282,167
15L24_3,2010s,LA,3,1,0,0,1,1,1,1,0,196,216,176,147,175,269,168,218,282,167
15L26_1,2010s,LA,3,1,0,0,1,1,1,1,0,196,216,176,147,175,269,168,218,282,167
15L27_1,2010s,LA,3,1,0,0,1,1,1,1,0,196,216,176,147,174,269,168,216,282,167
15L27_2,2010s,LA,3,1,0,0,1,1,1,1,0,196,216,176,147,174,269,168,-,282,167
15L28_2,2010s,LA,3,1,0,0,1,1,1,1,0,196,216,176,147,174,269,168,216,282,167
15L3_1,2010s,LA,3,1,0,0,1,1,1,1,0,196,214,176,147,174,269,168,216,282,167
15L6_2,2010s,LA,3,1,0,0,1,1,1,1,0,196,214,176,147,174,269,168,216,282,167
15T1_1,2010s,TX,3,1,0,0,1,1,1,1,0,196,212,176,147,175,269,268,216,282,167
60/1,1990s,AR,3,1,0,0,1,1,1,1,0,196,210,174,147,175,267,168,218,282,169
60/1_5,1990s,AR,3,1,0,0,1,1,1,1,0,196,210,174,147,175,267,168,218,282,169
6_18,2000s,AR,1,1,0,0,0,1,1,1,0,199,-,164,147,197,267,174,200,290,167
6_2,2000s,AR,1,1,0,0,0,1,1,1,0,199,-,164,147,-,267,174,200,290,-
6_20,2000s,AR,1,1,0,0,0,1,1,1,0,199,-,164,147,197,267,174,200,290,167
6_21,2000s,AR,1,1,0,0,0,1,1,1,0,199,-,164,147,197,267,174,200,290,167
6_25,2000s,AR,1,1,0,0,0,1,1,1,0,199,-,164,147,197,267,174,200,290,167
6_27,2000s,AR,1,1,0,0,0,1,1,1,0,199,-,164,147,197,267,174,200,290,167
6_29,2000s,AR,1,1,0,0,0,1,1,1,0,199,-,164,147,197,267,174,200,290,167
6_35,2000s,AR,1,1,0,0,0,1,1,1,0,199,-,164,147,197,267,174,200,290,167
6_4,2000s,AR,1,1,0,0,0,1,1,1,0,199,-,164,147,197,267,174,200,290,167
75A10,1970s,AR,3,1,0,0,1,1,1,1,1,196,196,169,147,175,269,168,218,282,167
75A32,1970s,AR,3,1,0,0,1,1,1,0,1,196,198,169,147,175,269,168,218,282,-
75L14,1970s,LA,2,0,0,0,0,1,1,1,1,196,220,164,149,175,251,-,210,284,169
75L5,1970s,LA,2,1,0,0,0,1,1,1,1,196,222,164,149,175,251,199,210,284,169
75T85,1970s,TX,3,1,0,0,1,1,1,1,1,196,208,169,147,175,267,168,216,282,169
76L1,1970s,LA,3,1,0,0,1,1,1,1,0,196,210,178,147,175,269,168,216,282,167
77L19,1970s,LA,3,1,0,0,1,1,1,1,1,196,196,169,147,175,269,168,218,282,167
78A1,1970s,AR,5,1,0,0,1,1,1,1,1,196,208,174,147,175,267,-,218,282,169
78T6,1970s,TX,1,1,0,0,1,1,1,1,1,199,-,165,147,195,267,174,200,290,167
79A2,1970s,AR,1,1,0,0,1,1,1,1,1,199,-,165,147,195,267,174,200,290,167
79T4,1970s,TX,3,1,0,0,1,1,1,1,1,196,208,171,147,175,267,168,216,282,169
80F1,1980s,TX,3,1,0,0,1,1,1,1,0,196,208,174,147,175,-,168,218,284,169
80T1,1980s,TX,3,1,0,0,1,1,1,1,0,196,210,174,147,175,267,168,216,282,169
81L12,1980s,LA,3,1,0,0,1,1,1,1,1,196,208,169,147,175,267,168,216,282,169
81L31,1980s,LA,5,1,0,0,1,1,1,1,1,196,212,165,147,175,269,-,214,282,167
81T3,1980s,TX,3,1,0,0,1,1,1,1,0,196,208,174,147,175,267,168,218,282,169
82A1,1980s,AR,3,1,0,0,1,1,1,1,1,196,208,169,147,175,267,168,216,282,169
83T33,1980s,TX,3,1,0,0,1,1,1,1,1,196,216,165,147,175,269,168,214,282,167
85L1,1980s,LA,3,1,0,0,1,1,1,1,1,196,216,165,147,175,269,168,214,282,167
85M5,1980s,MS,5,1,0,0,1,1,1,1,1,196,202,171,147,175,267,168,224,284,169
90A30,1990s,AR,2,1,0,0,1,1,1,1,1,199,-,184,149,181,261,197,214,284,167
91A31,1990s,AR,2,1,0,0,0,1,1,1,1,199,-,186,149,181,261,197,216,284,167
91A7,1990s,AR,2,1,0,0,1,1,1,1,1,199,-,186,149,181,261,195,214,284,167
91L5,1990s,LA,3,1,0,0,0,1,1,1,0,196,208,176,147,175,269,168,218,282,167
91T19,1990s,TX,2,1,0,0,1,1,1,1,1,199,-,184,149,181,261,199,212,298,167
91T20,1990s,TX,2,1,0,0,0,1,1,1,1,199,-,184,149,181,261,195,212,284,167
91T21,1990s,TX,2,0,0,0,1,0,0,1,1,199,-,186,149,181,261,195,212,284,167
91T40,1990s,TX,2,1,0,0,1,1,1,1,1,199,210,181,149,181,261,195,212,284,167
92A14,1990s,AR,3,1,0,0,1,1,1,1,0,196,214,174,147,175,269,168,216,282,167
92A8_2,1990s,AR,2,1,0,0,1,1,1,1,1,199,-,188,149,181,261,195,214,284,167
92L1_2,1990s,LA,3,1,0,0,1,1,1,1,1,196,208,176,147,175,269,168,218,282,167
92L3_1,1990s,LA,3,1,0,0,1,1,1,1,0,196,210,184,147,175,269,168,216,282,167
92M11,1990s,MS,1,1,0,0,1,1,1,1,0,199,-,164,-,197,267,174,200,290,-
92M14,1990s,MS,2,1,0,0,1,1,1,1,1,199,-,186,149,181,261,195,212,284,167
92M4,1990s,MS,2,1,0,0,1,1,1,1,1,199,-,186,149,181,261,197,214,284,167
92MO1_1,1990s,AR,2,1,0,0,1,1,1,1,1,199,-,186,149,181,261,195,214,284,167
